IMG_NM,PRED_PHY_ID,TRUE_PHY_ID,NN_MEAN_DIST_3,NN_DIST_1,NN_DIST_2,NN_DIST_3
PR234C6DHK03_P005.jpg,DHA26045,DHA26045,0.08827881,6.556511e-07,0.13240355,0.13243222
PR234C6DHK03_P006.jpg,DHA32571,DHA32571,0.061220467,1.1920929e-07,0.06705707,0.11660421
PR234C6DHK03_P012.jpg,DHA32571,DHA32571,0.060023904,5.9604645e-08,0.064706326,0.11536533
PR234C6DHK04_P002.jpg,DHA03754,DHK45868,0.15450396,0.0,0.20337778,0.2601341
PR234C6DHK04_P004.jpg,DHA17568,DHA17568,0.16018282,4.172325e-07,0.23582059,0.24472743
PR234C6DHK04_P005.jpg,DHA26045,DHK79425,0.08726265,0.0,0.1293844,0.13240355
PR234C6DHK04_P018.jpg,DHA03754,DHA03754,0.1131348,0.0,0.16788113,0.17152327
PR234C6DHK04_P024.jpg,DHA03754,DHK82109,0.13663702,0.0,0.19628501,0.21362603
PR234C6DHK04_P033.jpg,DHA02010,DHA13290,0.11190275,0.0,0.16649711,0.16921115
PR234C6DHK04_P044.jpg,DHA09360,DHA09360,0.06838006,5.9604645e-08,0.10083264,0.10430747
PR234C6DHK04_P046.jpg,DHA02010,DHA02010,0.09872303,0.0,0.14189875,0.15427035
PR234C6DHK04_P050.jpg,DHK00591,DHK84016,0.06349126,0.0,0.09337115,0.09710264
PR234C6DHK04_P054.jpg,DHA40013,DHA44225,0.06527581,0.0,0.09549016,0.10033727
PR234C6DHK04_P055.jpg,DHA01481,DHA29984,0.102706075,0.0,0.15315461,0.15496361
PR234C6DHK04_P059.jpg,DHK00591,DHK00591,0.069931425,0.0,0.09337115,0.11642313
PR234C6DHK17_P032.jpg,DHA37892,DHA37892,0.080784105,0.0,0.12047303,0.12187928
PR234C6DHK17_P034.jpg,DHA26331,DHA26331,0.07173935,0.0,0.10484743,0.110370636
PR234C6DHK17_P035.jpg,DHA01481,DHA26331,0.06515799,0.0,0.09464133,0.10083264
PR234C6DHK17_P036.jpg,DHA37892,DHA37892,0.08373115,1.7881393e-07,0.12187928,0.129314
PR234C6DHK17_P046.jpg,DHA01481,DHA24740,0.0666608,0.0,0.09649634,0.10348606
PR234C6DHK17_P051.jpg,DHA01481,DHA01481,0.064361475,1.7881393e-07,0.09464133,0.09844291
PR234C6DHK25_P005.jpg,DHA08550,DHA08550,0.07051913,0.0,0.10425848,0.10729891
PR234C6DHK25_P011.jpg,DHA44835,DHK98952,0.07406783,0.0,0.107007146,0.11519635
PR234C6DHK25_P012.jpg,DHA16338,DHA16338,0.06844568,5.9604645e-08,0.099543214,0.105793774
PR234C6DHK25_P023.jpg,DHK91624,DHA15739,0.06332624,0.0,0.08540541,0.10457331
PR234C6DHK25_P025.jpg,DHA02135,DHA02135,0.09158359,0.0,0.13573527,0.1390155
PR234C6DHK25_P033.jpg,DHA08550,DHA46176,0.06920884,0.0,0.103368044,0.10425848
PR234C6DHK25_P038.jpg,DHA08550,DHK97752,0.079415046,0.0,0.11153978,0.12670535
PR234C6DHK36_P007.jpg,DHK87527,DHK87527,0.06357676,0.0,0.09137863,0.099351645
PR234C6DHK36_P018.jpg,DHA34392,DHA34392,0.07063893,0.0,0.10516024,0.10675657
PR234C6DHK36_P020.jpg,DHK87527,DHK87527,0.06582121,0.0,0.09137863,0.106085
PR234C6DHK36_P031.jpg,DHA17115,DHA17115,0.06912953,0.0,0.10170889,0.10567969
PR234C6DHK36_P035.jpg,DHK87634,DHK87634,0.061798155,0.0,0.07962203,0.105772436
PR234C6DHK36_P038.jpg,DHK87524,DHK87524,0.07448361,0.0,0.08695531,0.13649553
PR234C6DHK36_P039.jpg,DHK87524,DHK87524,0.06582904,0.0,0.08695531,0.11053181
PR234C6DHK36_P040.jpg,DHK87524,DHK87524,0.07752248,0.0,0.11493778,0.11762965
PR234C6DHK36_P041.jpg,DHK87524,DHK87524,0.074709594,5.9604645e-08,0.11053181,0.113596916
PR234C6DHK36_P044.jpg,DHK62507,DHK62507,0.07076502,1.7881393e-07,0.0822472,0.13004768
PR234C6DHK36_P048.jpg,DHK62507,DHK62507,0.066473864,0.0,0.0822472,0.11717439
PR234C6DHK36_P057.jpg,DHK87664,DHK74287,0.10554073,0.0,0.15337712,0.16324508
PR234C6DHK36_P062.jpg,DHK87664,DHA24168,0.07404002,0.0,0.10441631,0.117703736
PR234C6DHK36_P070.jpg,DHA46015,DHA46015,0.070855536,0.0,0.089377284,0.12318933
PR234C6DHK36_P072.jpg,DHK87524,DHK87524,0.07617823,0.0,0.113596916,0.11493778
PR234C6DHK42_P008.jpg,DHA36192,DHK66653,0.071787976,0.0,0.10429162,0.1110723
PR234C6DHK42_P011.jpg,DHA01511,DHA36192,0.06489142,0.0,0.09730196,0.09737229
PR234C6DHK42_P019.jpg,DHA41993,DHK78251,0.078389205,0.0,0.115606666,0.11956096
PR234C6DHK42_P028.jpg,DHA32786,DHA32786,0.061279256,0.0,0.038682997,0.14515477
PR234C6DHK42_P030.jpg,DHA45518,DHA45518,0.06342876,0.0,0.09264916,0.09763712
PR234C6DHK42_P041.jpg,DHA32786,DHK98520,0.060732942,0.0,0.038682997,0.14351583
PR234C6DHK42_P042.jpg,DHA21545,DHA21545,0.06548325,2.9802322e-07,0.09237754,0.104071915
PR234C6DHK42_P043.jpg,DHA26731,DHK91626,0.06245905,0.0,0.09030402,0.09707314
PR234C6DHK42_P045.jpg,DHA02528,DHA02528,0.08537624,0.0,0.12671816,0.12941056
PR234C6DHK42_P048.jpg,DHK49412,DHA26731,0.05837671,0.0,0.08058488,0.094545245
PR234C6DHK42_P049.jpg,DHA26731,DHA45850,0.071616195,0.0,0.10681826,0.10803032
PR234C6DHK42_P053.jpg,DHA42325,DHK98792,0.061175186,0.0,0.09002566,0.0934999
PR234C6DHK42_P054.jpg,DHA24168,DHK00214,0.08926948,0.0,0.13182092,0.13598752
PR234C6DHK42_P056.jpg,DHA26731,DHK83791,0.072222866,0.0,0.10573304,0.11093557
PR234C6DHK42_P057.jpg,DHA01511,DHA15298,0.06572095,0.0,0.097874224,0.09928864
PR234C6DHK42_P062.jpg,DHA01511,DHA01511,0.058374364,0.0,0.08233297,0.09279013
PR234C6DHK42_P063.jpg,DHK49412,DHK01278,0.07369449,0.0,0.10837662,0.11270684
